CustomerKey,TotalSpent,SpendingSegment
11241,283261.235,High Spender
11417,188457.7568,High Spender
11420,187380.8034,High Spender
11429,174924.6654,High Spender
11439,168215.6406,High Spender
11425,155871.456,High Spender
11433,148895.454,High Spender
11432,146894.9584,High Spender
11242,130224.408,High Spender
12321,128817.045,High Spender
13263,125238.0948,High Spender
12308,120467.8033,High Spender
12132,120366.0237,High Spender
11300,117696.608,High Spender
14185,117674.9262,High Spender
11428,117139.2264,High Spender
13575,116992.2962,High Spender
12655,114344.8196,High Spender
12631,113649.0839,High Spender
13405,113393.7739,High Spender
12301,110815.9176,High Spender
11412,106776.0474,High Spender
11431,106561.0326,High Spender
11249,106348.2629,High Spender
11185,104722.2746,High Spender
11277,101271.4098,High Spender
12124,100828.1725,High Spender
12296,100381.0863,High Spender
13577,98921.8252,High Spender
11331,97416.2112,High Spender
11423,97169.908,High Spender
13256,95009.1142,High Spender
14186,93025.863,High Spender
12302,93006.4212,High Spender
12650,92963.0619,High Spender
17221,92555.2758,High Spender
12131,92103.636,High Spender
12307,91610.092,High Spender
11245,91493.2989,High Spender
14192,89824.872,High Spender
14200,89605.146,High Spender
11330,89410.3112,High Spender
11766,89078.7986,High Spender
11456,88701.3446,High Spender
11986,88680.6756,High Spender
11427,87458.8554,High Spender
11223,87245.5536,High Spender
13255,86484.864,High Spender
11262,86422.4507,High Spender
12291,84934.564,High Spender
11091,84735.6048,High Spender
12297,84366.2248,High Spender
12125,83704.534,High Spender
12300,82761.2667,High Spender
11200,82307.8953,High Spender
13595,80059.3866,High Spender
11457,79826.936,High Spender
11176,79353.6536,High Spender
11566,78346.785,High Spender
11287,77919.9372,High Spender
11413,77225.0369,High Spender
12298,77068.03,High Spender
12130,76755.251,High Spender
12128,76107.897,High Spender
12330,75994.834,High Spender
12129,75462.4962,High Spender
11996,75390.6318,High Spender
15097,73351.5138,High Spender
11451,72397.8216,High Spender
12039,72143.6832,High Spender
11894,72108.4842,High Spender
15678,70279.95,High Spender
11711,70192.53,High Spender
11414,69629.98,High Spender
11422,68742.708,High Spender
16587,68340.02,High Spender
12323,68224.647,High Spender
12123,68030.9724,High Spender
15697,67928.791,High Spender
14931,67904.847,High Spender
12333,67745.017,High Spender
12684,67040.92,High Spender
12348,66927.762,High Spender
12653,66883.688,High Spender
12680,66601.29,High Spender
15059,65916.037,High Spender
15106,65490.7504,High Spender
14775,65456.7176,High Spender
14940,65073.6768,High Spender
14830,65002.5904,High Spender
15695,64871.3792,High Spender
12338,64408.5456,High Spender
12003,64369.0608,High Spender
13592,64288.1841,High Spender
12000,64160.4656,High Spender
11977,64142.9568,High Spender
11918,63944.2704,High Spender
12010,63913.9784,High Spender
14171,63895.097,High Spender
13605,63847.2149,High Spender
11761,63771.7024,High Spender
11919,63668.6256,High Spender
11914,63453.2992,High Spender
11915,63416.2704,High Spender
17114,63345.4776,High Spender
18173,63171.045,High Spender
14791,63091.6974,High Spender
16821,63060.4494,High Spender
11999,61796.3922,High Spender
12632,61697.4726,High Spender
18177,61659.1746,High Spender
17825,61475.7924,High Spender
15926,61379.0523,High Spender
17199,61301.1645,High Spender
12314,61220.876,High Spender
11549,61163.3295,High Spender
16298,61159.7223,High Spender
16603,61093.9179,High Spender
13012,61033.7502,High Spender
12216,60996.7206,High Spender
17202,60981.4125,High Spender
17207,60941.4741,High Spender
15086,60851.0475,High Spender
15117,60834.1698,High Spender
12332,60511.4541,High Spender
13626,60499.2276,High Spender
12702,60448.3002,High Spender
11237,60390.0726,High Spender
17218,60365.0475,High Spender
12647,60260.6151,High Spender
12335,60183.0873,High Spender
12215,60168.4362,High Spender
11609,59974.5654,High Spender
12706,59971.7259,High Spender
13965,59916.0906,High Spender
13132,59802.3576,High Spender
12317,59613.9858,High Spender
13080,59541.768,High Spender
14203,59215.4523,High Spender
15056,58918.1931,High Spender
11263,58699.5471,High Spender
12657,57113.376,High Spender
15692,57022.196,High Spender
14939,56875.3668,High Spender
13555,56860.7796,High Spender
11767,56827.4308,High Spender
15691,56751.4766,High Spender
14198,56489.8474,High Spender
17184,56355.0704,High Spender
16823,56315.4256,High Spender
11995,56315.1806,High Spender
14276,56303.4813,High Spender
11904,56236.8002,High Spender
11901,56233.9372,High Spender
12133,56171.465,High Spender
15677,56150.6864,High Spender
11900,56107.7454,High Spender
11899,56082.1975,High Spender
16565,56039.7792,High Spender
11762,56030.8672,High Spender
16206,55971.0464,High Spender
12009,55940.5196,High Spender
11952,55848.5872,High Spender
11916,55761.2972,High Spender
17183,55735.8104,High Spender
16828,55690.6928,High Spender
11491,55664.4466,High Spender
11905,55645.3772,High Spender
11906,55601.2366,High Spender
11394,55554.3072,High Spender
11990,55529.026,High Spender
11489,55473.7694,High Spender
11464,55441.4308,High Spender
12337,55440.1148,High Spender
11920,55360.8566,High Spender
11993,55239.5368,High Spender
12001,55223.3556,High Spender
11909,55136.4268,High Spender
12287,55120.626,High Spender
15082,55081.2856,High Spender
14790,54929.8952,High Spender
12037,54915.7104,High Spender
15626,54553.3248,High Spender
12007,54361.3328,High Spender
18141,54281.7656,High Spender
18127,54275.2888,High Spender
16588,54269.0904,High Spender
15637,54218.7584,High Spender
16575,54138.8624,High Spender
15684,54068.1376,High Spender
11400,54052.2584,High Spender
15699,53965.824,High Spender
17225,53956.8288,High Spender
17203,53939.8904,High Spender
16826,53911.6728,High Spender
17185,53903.2936,High Spender
14031,53854.176,High Spender
16203,53820.3128,High Spender
16262,53799.7768,High Spender
12222,53526.4496,High Spender
12239,53471.068,High Spender
12685,53460.0624,High Spender
13616,53459.2624,High Spender
12689,53449.8256,High Spender
13407,53449.5352,High Spender
13082,53437.9936,High Spender
13955,53430.3056,High Spender
11276,53338.8288,High Spender
13104,53268.0272,High Spender
13646,53258.1808,High Spender
13103,53202.2608,High Spender
12703,53177.536,High Spender
12701,53142.7136,High Spender
12648,53085.716,High Spender
13259,53045.6927,High Spender
14032,53009.9944,High Spender
12263,53008.416,High Spender
13959,52985.0896,High Spender
13630,52944.7024,High Spender
13966,52929.296,High Spender
15614,52895.3229,High Spender
13619,52851.7184,High Spender
13051,52781.8336,High Spender
14719,52748.05,High Spender
13631,52721.5712,High Spender
13645,52710.8048,High Spender
